model,task_family,capability,cot_state,n,mean_delta,abs_mean_delta,ci_low_2.5,ci_high_97.5
Qwen3.5-0.8B,RB,RP,with_cot,25,0.20655646630318927,1.0604965627231147,-0.3026989756465135,0.7795037084862123
Qwen3.5-0.8B,RB,RB,with_cot,25,0.2224457624899445,0.4990804178597007,-0.03369857146160487,0.4930745177863307
Qwen3.5-0.8B,RB,RD,with_cot,25,0.46929956366064113,1.3276316636714285,-0.14943803458493424,1.0796489733053216
Qwen3.5-0.8B,Hybrid,CP,no_cot,25,0.8645967407329396,1.1003798745377378,0.42650981305994606,1.3279993762143731
Qwen3.5-0.8B,Hybrid,CB,no_cot,25,-0.2778896201125656,1.1358929862684262,-0.8339222917720792,0.2958210239773381
Qwen3.5-0.8B,Hybrid,CB-control,no_cot,25,-0.6181383035848849,1.0549993176241406,-1.219498067130102,-0.09617153573276041
Qwen3.5-0.8B,Hybrid,CD,no_cot,25,0.3098801370559571,0.6408551060521666,0.03176707574235814,0.592408447640882
Qwen3.5-0.8B,Hybrid,CP,with_cot,25,0.63108666468986,0.9309195471053633,0.1869078169868153,1.0712241829879618
Qwen3.5-0.8B,Hybrid,CB,with_cot,25,-0.9723419933980331,1.2565579482978209,-1.6223726972766452,-0.387663470107317
Qwen3.5-0.8B,Hybrid,CB-control,with_cot,25,-1.1728726782885692,1.3324098162737987,-1.869263829226357,-0.5498228673858568
Qwen3.5-0.8B,Hybrid,CD,with_cot,25,-0.19461662199969093,0.6092851584466795,-0.5092576904743911,0.09752703409021095
Qwen3.5-2B-Base,KB,KP,no_cot,25,0.6676135987046236,0.8814662799391024,0.3391054510499092,0.998807882587433
Qwen3.5-2B-Base,KB,KD,no_cot,25,-0.4504155333915814,0.6421433824958679,-0.8409166164860854,-0.1272841585624808
Qwen3.5-2B-Base,KB,KB,no_cot,25,0.998491271876683,1.4500966736948577,0.2136883437105886,1.7713718924856932
Qwen3.5-2B-Base,KB,KP,with_cot,25,0.06401116994426477,0.558222934842901,-0.21927381883775124,0.34423580214657507
Qwen3.5-2B-Base,KB,KD,with_cot,25,-0.41996566603296315,0.5183480196461161,-0.6199889909732541,-0.22265139696981293
Qwen3.5-2B-Base,KB,KB,with_cot,25,0.810783470282785,1.116819571206179,0.1911966143683888,1.4194829933338065
Qwen3.5-2B-Base,RB,RP,no_cot,25,0.08522651938291909,0.5495700358839739,-0.17112755172143598,0.33955410785242907
Qwen3.5-2B-Base,RB,RB,no_cot,25,-0.4425667497848017,0.4614539453719599,-0.6440390952516318,-0.2679071413640466
Qwen3.5-2B-Base,RB,RD,no_cot,25,-0.5870247909277844,1.0136104037641227,-1.012438757830183,-0.16334760534211687
Qwen3.5-2B-Base,RB,RP,with_cot,25,0.13578384919161354,0.4573137223483008,-0.06741076052826454,0.34448151758272066
Qwen3.5-2B-Base,RB,RB,with_cot,25,-0.43082570876657317,0.4493201552428737,-0.6245427307807341,-0.25039068930475744
Qwen3.5-2B-Base,RB,RD,with_cot,25,-0.554545658619969,0.9304312250841065,-0.9604411373131185,-0.16889329440831266
Qwen3.5-2B-Base,Hybrid,CP,no_cot,25,0.6494050367950694,0.8131323938958426,0.3493052312560564,0.9489881837879167
