model,repair_axis,endpoint,metric,target_repair_fraction,fixed_tau_saturating_absolute_error,nearest_q10_absolute_error,log_linear_absolute_error,raw_linear_absolute_error
Qwen/Qwen3-1.7B,FMT,EVD,bits_per_byte,0.2,0.25383452742464985,0.33757661927742744,0.01759997451217954,0.03803552872396687
Qwen/Qwen3-1.7B,FMT,EVD,mean_per_item_nll,0.2,0.4703978398295665,0.6257087677822022,0.032414515324668436,0.0716986056199791
Qwen/Qwen3-1.7B,FMT,FMT,bits_per_byte,0.2,0.2901927940874047,0.03140578440703701,0.44802561178460454,
Qwen/Qwen3-1.7B,FMT,FMT,mean_per_item_nll,0.2,0.5033286051888812,0.046838582223214686,0.8793078508054961,
Qwen/Qwen3-1.7B,FMT,PARA,bits_per_byte,0.2,0.24628019547380453,0.3336003465431334,0.025845898020605773,0.03075174483348997
Qwen/Qwen3-1.7B,FMT,PARA,mean_per_item_nll,0.2,0.4541773153398272,0.6171049916987967,0.051683282084847626,0.054761002147472926
Qwen/Qwen3-1.7B,PARA,ANS,bits_per_byte,0.2,0.0004889967132657436,0.0032384328727766976,0.008791394610324521,0.008706399132871523
Qwen/Qwen3-1.7B,PARA,ANS,mean_per_item_nll,0.2,0.0021184168318950647,0.014029441344985738,0.03808581492085139,0.03771760007362124
Qwen/Qwen3-1.7B,PARA,Clean,bits_per_byte,0.2,0.0011065087660619977,0.004401215492271904,0.01025593456506746,0.010168544757588771
Qwen/Qwen3-1.7B,PARA,Clean,mean_per_item_nll,0.2,0.00201512530210346,0.008176854407182965,0.019375535397107235,0.019211719456801557
Qwen/Qwen3-1.7B,PARA,EVD,bits_per_byte,0.2,0.0017156110399831892,0.00530549634041555,0.011356076157003958,0.011270853590080732
Qwen/Qwen3-1.7B,PARA,EVD,mean_per_item_nll,0.2,0.003177105835381777,0.00982810186907912,0.02118026972904019,0.021019498597515174
Qwen/Qwen3-1.7B,PARA,FMT,bits_per_byte,0.2,0.0045489103105964546,0.009843789195145725,0.019555421881676693,0.019628731422517642
Qwen/Qwen3-1.7B,PARA,FMT,mean_per_item_nll,0.2,0.008761247182578202,0.014788644751330793,0.03284776167875858,0.03295211550018973
Qwen/Qwen3-1.7B,PARA,PARA,bits_per_byte,0.2,0.0037542137227670747,0.006130333113421038,0.0121623137184792,0.012098198196483612
Qwen/Qwen3-1.7B,PARA,PARA,mean_per_item_nll,0.2,0.0073618129424648515,0.011498154484470557,0.021870985758065675,0.021757189803195853
Qwen/Qwen3-4B,ANS,ANS,bits_per_byte,0.2,0.01435199515177843,0.023555078323963974,0.001002241252919145,0.00040528737092393463
Qwen/Qwen3-4B,ANS,ANS,mean_per_item_nll,0.2,0.06217528109290704,0.10204460080077649,0.004341879366885237,0.0017557737404527707
Qwen/Qwen3-4B,ANS,Clean,bits_per_byte,0.2,0.000925159948042209,0.0003185185960117298,0.009725565534048242,0.009638560012264819
